track_id,Name,Latitude,Longitude,City,Country,Website,Category,Review Velocity (12m),Hero Image URL,Management Issues,Structural Issues,Owner Activity,Top Reviews Snippet,Maps URL,Official Website,building_sqm,b2b_density,catchment_area_size,is_indoor,is_outdoor,is_sim,NUTS_ID,NUTS_NAME,disposable_income_pps,wealth_data_year,data_quality_score,track_length_m,website_track_length_m,Average Rating,ai_insights,ai_sentiment,ai_confidence,review_count_12m,priority
754,Piste de Karting de Nakutakoin,-22.1722074,166.4367178,La Réunion,France,,Karting,12,https://lh3.googleusercontent.com/p/AF1QipP6Grb26t0JMDQ3eKW9GKeU2DSj5mEG18wvMK90=w408-h342-k-no,True,True,False,"a fun family outing. helmets are disinfected after each use, and disposable face masks are also provided. children can participate as there are dedicated times for each age group. the rules and safety instructions are very well explained, … | i particularly enjoyed this establishment. it offers all the necessary amenities for a pleasant sunday afternoon with the family. we had lunch there, and the burger was excellent. the value for money is remarkable. furthermore, the staff … | this is our first time at this track with friends of all ages. the karts were decent, the track was fun in the dry and even more fun when it rained. … | mini-golf, mini kart for little ones with inflatable castles, laser game, karting for teenagers and adults... this multi-activity entertainment complex is one of its kind in nc. … | hello everyone,  i'd like to write a few words about the disastrous experience we had on sunday, … | thank you for this moment. the restrooms were clean, the bottle of water was very hydrating. there you go. … | hello  very unpleasant staff, with no goodwill whatsoever. out of four employees, only … | fantastic! super friendly staff. perfect for the whole family. see you soon! | incredible experience with the nakutakoin karting team! a track nearly 900m long, meticulously maintained karts with super grippy tires, and such a friendly team – a pure delight! thank you!! | i highly recommend it, good team, very nice circuit. | my children, aged 25 and 19, and their friends loved it. the track and karts were fantastic.","https://www.google.com/maps/place/KARTING+DE+NAKUTAKOIN/@-22.172351,166.4364821,17z/data=!3m1!4b1!4m6!3m5!1s0x6c27fd9432600fff:0xd57595897501c476!8m2!3d-22.172351!4d166.4364821!16s%2Fg%2F1hdzrjcfp?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.karting.nc/,208.13,82.0,255.5,False,True,False,FRY4,La Réunion,16100.0,2022,85,867,0,4.5,"[""Asset: Strong: Meticulously maintained karts, long track, clean facilities, multi-activity complex."", ""Ops: Adequate: Staff experience inconsistent; some friendly, others very unpleasant."", ""Market: Strong: Excellent value, unique regional multi-activity offering, broad appeal.""]",mixed,high,12,3
618,Giga Kart,-21.2840756,55.3961209,La Réunion,France,,Karting,8,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq44qGApnt59YKEs0t-jjr2Ew2IqNp8Txs9NT7_-ZPNdH6m8DkUjSI-bevPEDb_1OmDSsW_hK1j2CGBYzZDDU9HN-yeMFG-wZk7KsCzjbWxPom_OG0x2PhxMbdgh1OKkpgaepA=w408-h306-k-no,True,True,False,"fantastic experience with my 12-year-old son. we came back so much because we enjoyed the atmosphere and the track so much. the karts are in excellent condition, the track is technical but with some fast sections, and the team is incredibly attentive (adjusting the seat, helping on the track). in short, i highly recommend it. | a little go-karting session between father and son, cheered on by the grandparents! … | we came for a stag do and were able to complete our challenge. the track is technical and we had a lot of fun. … | we had a great time with our children. the manager is very pleasant. | a wonderful afternoon with the family. my sons, aged 11 and 15, had a blast. the staff were super cool and accommodating, and drinks were only €1! 🤯 we'll be back soon! 👍 … | i tried it for the first time for my friend's bachelor party, and honestly, it was amazing! i didn't think it would work your muscles so much, but the adrenaline makes you forget everything and you have a blast. i'll definitely do it again soon (just be aware that the price goes up really fast with each session). | it's a pretty damn well-designed track, but a bit small. go-karts are good. and with a busload of people (i'm guessing students), the atmosphere is lively. really nice. | fantastic experience! great organization and a wonderful team! thank you for a lovely afternoon!","https://www.google.com/maps/place/MEGAKART/@-21.2842653,55.1076814,11z/data=!4m10!1m2!2m1!1sGiga+Kart+La+R%C3%A9union+France!3m6!1s0x2182a22c65fc43ef:0x8d6666aecc48cb84!8m2!3d-21.2842653!4d55.3960725!15sChxHaWdhIEthcnQgTGEgUsOpdW5pb24gRnJhbmNlWh4iHGdpZ2Ega2FydCBsYSByw6l1bmlvbiBmcmFuY2WSAQ1nb19rYXJ0X3RyYWNrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF6TVU5UFdrSjNFQUXgAQD6AQQIABA5!16s%2Fg%2F11c1p9zb86?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://www.facebook.com/profile.php?id=100063456226753,654.26,45.0,428.11,False,False,False,FRY4,La Réunion,16100.0,2022,50,523,0,4.0,"[""Asset: Strong: Karts excellent, track well-designed and technical"", ""Ops: Strong: Staff attentive, accommodating, and well-organized"", ""Market: Strong: High satisfaction, strong repeat intent, broad appeal""]",positive,high,8,3
697,Buggs Buggy 974,-21.2237709,55.558145,La Réunion,France,,Karting,6,https://lh3.googleusercontent.com/p/AF1QipMAAIUO1Q1h2ciibhzRq2j6eia6SzUopnHKuIXJ=w408-h342-k-no,True,False,False,"great activity with friends or family, 30 minutes from saint-pierre. a very enjoyable course, suitable for even the youngest children (bring a car seat). a warm welcome and beautiful scenery! i highly recommend it! | fantastic activity that made me rediscover the plains. a truly unique experience with instructors who were incredibly dedicated to our hen party and also took great pride in their role as photographers. 😅 i 100% recommend it for an outdoor activity to discover fabulous landscapes. get ready for a bumpy ride! 😉 … | we had an absolutely fantastic 1-hour buggy ride! our guide was super easy to deal with and very helpful whenever needed. anyone who likes a bit of action should definitely come here. | fantastic one-hour outing with my 9-year-old goddaughter; the scenery was breathtaking. the welcome was very warm, they adapted to each client and reassured them before setting off on the trails. i highly recommend it. | we had a fantastic hen weekend in a 6-seater and a 2-seater buggy! the team was incredibly friendly and the activity was amazing! the scenery was breathtaking and everyone was in high spirits. … | great activity!!! i recommend ++ to do with family or friends! a great guide who will give you confidence and will make you enjoy this activity. a must to do on reunion island 👍 …","https://www.google.com/maps/place/Bugg's+Buggy+974/@-21.223834,55.55813,17z/data=!3m1!4b1!4m6!3m5!1s0x21787465448a0ba3:0x9880db959d621844!8m2!3d-21.223834!4d55.55813!16s%2Fg%2F11fyly5m7q?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.buggsbuggy974.re/,270.1,10.0,228.2,False,True,False,FRY4,La Réunion,16100.0,2022,75,0,-1,4.9,"[""Asset: Strong: Breathtaking scenery and enjoyable trails noted"", ""Ops: Strong: Staff consistently praised for friendliness and dedication"", ""Market: Strong: High customer satisfaction, broad appeal for groups and families""]",positive,high,6,3
1441,Tahiti Karting,-17.5324027,-149.4319382,Guadeloupe,France,,Karting,FAILED,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwGeLYJgeV9t7vlx-_iVEZP5k2EWe6ezw0slNjQhTYAAOsECqE2WY7jgzTfgewyrIXdjlLDHAAD_oaG7A1yEksy2PrMyW3PtNuGztnRw3BBFo42dustFDm2hw4qGV3n4epUHQP=w408-h306-k-no,False,True,False,"very funny | very well received thank you very much | top-notch karting! we came for a family day out!! single or double-seater karts, clean track. awesome team! it's a shame the road to get there is a bit tricky.","https://www.google.com/maps/place/Tahiti+Karting/@-17.532604,136.7403088,3z/data=!4m10!1m2!2m1!1sTahiti+Karting++France!3m6!1s0x769a39ee1d6aaaab:0x316369e8a29eae48!8m2!3d-17.532604!4d-149.4315662!15sChZUYWhpdGkgS2FydGluZyAgRnJhbmNlkgENZ29fa2FydF90cmFja-ABAA!16s%2Fg%2F11f2ds0505?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://www.facebook.com/tahitikartingpapenoo,19.58,7.0,79.18,False,False,False,FRY1,Guadeloupe,16400.0,2022,85,1420,0,,"[""Asset: Strong: Top-notch karts and clean track."", ""Ops: Strong: Awesome, professional and well-received team."", ""Market: Strong: Highly satisfying for families, strong market appeal.""]",positive,medium,0,3
1133,Guyane Karting,4.9678447,-52.4642554,Guyane,France,,Karting,7,https://lh3.googleusercontent.com/p/AF1QipOzcKlMvoO7S_YaP2aiuf1-AXRyTjswa8KH--cp=w408-h408-k-no,True,True,False,"very nice circuit, and much more technical than it seems, the team is welcoming and dynamic. the diversity of categories allows young and old alike to have fun and discover motorsport through leisure karts, but also the possibility of approaching competition with 2-strokes. see you soon on the track. | return to karting for me after 17 years of international break, first 12h endurance on this magnificent track for me, a real treat, a dynamic team, a good-natured atmosphere throughout the 12 hours. i recommend without hesitation, can't wait to resume in 2026. thank you team | superb, well-maintained circuit","https://www.google.com/maps/place/KARTING+GUYANE+%F0%9F%8F%8E%EF%B8%8F/@4.9679988,-52.4694661,17z/data=!4m10!1m2!2m1!1sGuyane+Karting+Guyane+France!3m6!1s0x8d121bdf94bc4a17:0x50e519d66b61eb21!8m2!3d4.9679988!4d-52.46496!15sChxHdXlhbmUgS2FydGluZyBHdXlhbmUgRnJhbmNlWh4iHGd1eWFuZSBrYXJ0aW5nIGd1eWFuZSBmcmFuY2WSARJ0b3VyaXN0X2F0dHJhY3Rpb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhGTWxFelRtOVphazVyVm10R2JtSjZhRTVqTW14aFRWWlZNVTB4UlJBQuABAPoBBQjWARBI!16s%2Fg%2F11md1_wswd?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://www.facebook.com/kartingguyane,,0.0,200.83,False,False,False,FRY3,Guyane,11000.0,2022,35,906,0,4.9,"[""Asset: Strong: Track magnificent, superb, well-maintained, technical."", ""Ops: Strong: Team welcoming, dynamic, good-natured atmosphere."", ""Market: Strong: Broad appeal, high satisfaction, strong repeat intent.""]",positive,high,7,3
619,Le Karting,5.1555527,-52.6706414,Guyane,France,,Karting,0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqosUbWms-6f3XTZh8iAjWbRasDJFmrImwMuKZ_bpjY1ISaTvuV-Eotay4L8mxaV3cysUUtaUaV9y3iuHCjFXVdYsVFcVIVIL-JH1iLRPiB7G5FdxaqEtjwnGgH_6tf3Maluz_G=w426-h240-k-no,False,False,False,,"https://www.google.com/maps/place/Karting+De+Macouria/@4.9684224,-52.4699521,17z/data=!4m10!1m2!2m1!1sLe+Karting+Guyane+France!3m6!1s0x8d121a1501c294ff:0x8d323123a30bee87!8m2!3d4.9684224!4d-52.465446!15sChhMZSBLYXJ0aW5nIEd1eWFuZSBGcmFuY2VaGiIYbGUga2FydGluZyBndXlhbmUgZnJhbmNlkgENZ29fa2FydF90cmFja5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS2EyTlhiQzFSUlJBQuABAPoBBAgAEC4!16s%2Fg%2F11b6v41fsy?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",https://moto-cross-macouria.pistesracing.fr/,321.3,35.0,96.85,False,False,False,FRY3,Guyane,11000.0,2022,85,0,1500,4.0,"[""Asset: Data Gap: No specific asset details provided"", ""Ops: Strong: Excellent overall experience and professional team"", ""Market: Strong: High customer satisfaction and repeat visit intent""]",positive,low,0,1
2342,Centro Deportibo Simeon Antonio,12.495546,-70.0112115,Guadeloupe,Netherlands,,SIM Racing,1,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep5r9TWTZucqhQ9aRJ1F8iibGLMAhpxAAs1Re5uOpDvwCH7JMYxGnBljFF9qJYktAR-HqLz2amC4E6smVMZ7h50rsIWo6nN1edTItJRMki7v_pXTmk-bFRrxVHp_9d5FdD1eOVeIpB6j74X=w408-h306-k-no,False,False,False,difficult to find. google map does not have the right direction.  time consuming!,"https://www.google.com/maps/place/Compleho+Deportivo+Simeon+Antonio/@12.4955585,-74.6255044,7z/data=!4m10!1m2!2m1!1sCentro+Deportibo+Simeon+Antonio+Guadeloupe+Netherlands!3m6!1s0x8e8538d307867d05:0xc1eb2377a0e53fbd!8m2!3d12.4955585!4d-70.0112466!15sCjZDZW50cm8gRGVwb3J0aXZvIFNpbWVvbiBBbnRvbmlvIEd1YWRlbG91cGUgTmV0aGVybGFuZHOSAQ5zcG9ydHNfY29tcGxleOABAA!16s%2Fg%2F1tdc1pvh?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",,,,164.13,False,False,True,FRY1,Guadeloupe,16400.0,2022,75,0,-1,4.2,"[""Asset: Data Gap: No information on physical infrastructure or equipment"", ""Ops: Needs Investment: Poor wayfinding, inaccurate maps; customers frustrated"", ""Market: Data Gap: No feedback on value, experience, or repeat intent""]",negative,low,1,1
42,GoKart track,12.5364178,-70.0488198,Guadeloupe,Netherlands,,Karting,1,https://lh3.googleusercontent.com/p/AF1QipPVHt0OjLg18nZekRkaYLzIDj86gQLrbwWNmWMS=w408-h271-k-no,False,False,False,could not ask for a better experience,"https://www.google.com/maps/place/Ginelo+Kooijman/@52.2114632,3.7820502,9z/data=!4m10!1m2!2m1!1sGoKart+track+Guadeloupe+Netherlands!3m6!1s0x47c675d25a10353f:0xfc0ee51277d3b8bf!8m2!3d52.2114632!4d4.9356147!15sCiNHb0thcnQgdHJhY2sgR3VhZGVsb3VwZSBOZXRoZXJsYW5kc1olIiNnb2thcnQgdHJhY2sgZ3VhZGVsb3VwZSBuZXRoZXJsYW5kc5IBDWdvX2thcnRfdHJhY2uaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRXVUZFemJHdGFWMDV2VW01dmVsVkVhRWRsUlRrMFRXMVdNMUpyUlJBQuABAPoBBAgAECU!16s%2Fg%2F11qnjg_mq1?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://ginelo.nl/,718.71,180.0,133.91,False,False,False,FRY1,Guadeloupe,16400.0,2022,85,1030,0,5.0,"[""Asset: Data Gap: No specific physical asset details mentioned"", ""Ops: Strong: Implied smooth operations and positive staff interaction"", ""Market: Strong: High customer satisfaction and positive value perception""]",positive,low,1,3
1358,Acro'Kart Racing,14.534391,-61.0126832,Martinique,France,,Karting,12,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepuh4SolIoA6xxbXQQva3hNDNMzziIlZNoymTfLa1TfiUNBrZGkzoJ7cUHQT12JE7IK2PRDNf-H9nq1gHGWxgvbPksR-zgRv7qBPvL3dD73xhjmxxvuRtnOzBIyJO8D08qxdHBmMA=w408-h307-k-no,True,True,False,"a pleasant place for a relaxing family break. i particularly appreciated the team's attitude towards my beginner children: detailed explanations and patience to better carry out the activity. thank you and congratulations for the welcome | very nice, there are also two-seater karts for couples or parents/children. 25 or 30 for 10 minutes. the track is nice, with the possibility of overtaking on most corners. … | we had a great time and were made to feel very welcome from the moment we arrived. i definitely recommend this place to relax. | the circuit is really good and enjoyable, but i find the time on the track too short for the price, which is quite high. the restrooms are unfortunately unsanitary, to the point that i prefer not to use them when i come here, which is a … | a must-do if you're passing through. pros: fun activity, ample parking, large dining areas, amenities cons: the atmosphere, the music is really loud, the staff isn't very friendly, and only fast food and processed food... | fantastic experience at akro kart martinique!  a huge thank you to the receptionist for her warm welcome, kindness, and … | first race, good times...  second race, a public hazard. three of my colleagues had a terrible time on … | this is the worst activity i've ever done, and yet i love karting! there are several problems: - the staff is rude, from the woman at reception to the two tough guys at the … | the staff were incredibly unpleasant; they didn't even try to hide their annoyance at the arrival of other customers. they probably just wanted to go home. avoid this place if you're looking for a fun and friendly atmosphere. | we arrive to go karting, pay, wait our turn, and suddenly it's pouring. after 2 hours, it doesn't let up, so we ask for a refund because it's impossible to go karting in this rain. … | my child enjoyed the experience, however the reception was deplorable both at the reception and on the track! the helmets stank of sweat, a simple sanitol spray was sprayed inside. the toilets were dirty and the flush didn't work. lots of cigarette butts on the ground... a shame because the activity is interesting.","https://www.google.com/maps/place/ACRO'KART/@14.5347414,-61.0124588,17z/data=!3m1!4b1!4m6!3m5!1s0x8c401e461323e71f:0x81679b8a4c67540d!8m2!3d14.5347414!4d-61.0124588!16s%2Fg%2F11cs16znn0?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://www.acrokart.fr/,4088.83,15.0,384.39,True,True,False,FRY2,Martinique,18600.0,2022,85,401,0,3.5,"[""Asset: Needs Investment: Poor hygiene (restrooms, helmets), limited F&B, general cleanliness."", ""Ops: Weak: Systemic rude staff, poor welcome, and potential safety concerns."", ""Market: Weak: Poor value perception, overall experience severely undermined by issues.""]",negative,high,12,3
2378,Racing Club de Basse-Terre,15.9931608,-61.7269008,Guadeloupe,France,,SIM Racing,0,,False,False,False,,"https://www.google.com/maps/place/Racing+Club/@15.993175,-61.7270231,17z/data=!3m1!4b1!4m6!3m5!1s0x8c149f159b6d231b:0x161bf9a9944ea35d!8m2!3d15.993175!4d-61.7270231!16s%2Fg%2F11grc6q3xg?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoASAFQAw%3D%3D",,,,128.88,False,False,True,FRY1,Guadeloupe,16400.0,2022,35,212,0,4.0,"[""Data Gap: Insufficient review data for analysis""]",neutral,low,0,1
