Name,Latitude,Longitude,City,Country,Website,Category
Karting: Circuit Park Berghem,51.739249,5.572546,Berghem,Netherlands,N/A,Karting
A15 Karting,51.84137,5.0062833,N/A,Netherlands,N/A,Karting
Coronel Kartracing,52.3078014,5.2418536,Huizen,Netherlands,https://www.coronel.nl/,Karting
Bleekemolens Race Planet Delft,52.0251181,4.3634035,Delft,Netherlands,https://raceplanet.nl/,Karting
De Vries indoor karting,52.9401604,5.9404909,Heerenveen,Netherlands,https://www.indoorkartingheerenveen.nl,Karting
Kartplaza,52.3557209,6.5032297,Nijverdal,Netherlands,https://www.kartplaza.nl/,Karting
Planet Awesome,51.8380326,5.8124312,N/A,Netherlands,https://planet-awesome.com,Karting
Ourtdoor Karting Eindhoven,51.4626841,5.3749358,Eindhoven,Netherlands,https://www.outdoorkarting.nl,Karting
ZERO55,52.2386357,6.8332491,Enschede,Netherlands,https://zero55.nl/enschede/,Karting
N/A,51.7672063,4.5275025,Strijen,Netherlands,N/A,Karting
Circuitpark Karting Texel,53.0581775,4.7778491,Den Burg,Netherlands,https://www.kartingtexel.nl/nl/contact,Karting
Kartcircuit Pottendijk,52.8228596,6.9831781,Nieuw-Weerdinge,Netherlands,https://www.pottendijk.nl,Karting
Kartcentrum Zwolle,52.4882323,6.1601054,Zwolle,Netherlands,https://www.kartcentrumzwolle.nl,Karting
LevelRacing,53.1811986,6.166401,Surhuisterveen,Netherlands,https://levelracing.eu/,Karting
Kartbaan Duiven,51.9646956,5.9974969,Duiven,Netherlands,N/A,Karting
Euro Indoorkarting & Bowling Swalmen,51.2365856,6.0570402,Swalmen,Netherlands,https://kartcentrum.nl,Karting
Triopsys,52.1265559,5.0430383,Utrecht,Netherlands,https://www.kartfabrique.nl/,Karting
Kartfabrique,52.1276685,5.0486308,N/A,Netherlands,https://www.kartfabrique.nl/,Karting
Silverstone Indoorkarting / Lasergame,52.3833535,4.7345696,Zwanenburg,Netherlands,N/A,Karting
Van der Ende racing Inn,52.0346022,4.2300306,Poeldijk,Netherlands,https://www.vanderende.com/,Karting
Karting Eefde,52.1867525,6.2492891,Eefde,Netherlands,https://kartingeefde.nl,Karting
N/A,52.1829604,5.9675168,N/A,Netherlands,N/A,Karting
Hezemans Karting,51.4753317,5.4585347,Eindhoven,Netherlands,https://hezemans.nl,Karting
Modelautoclub De Baanbrekers,51.5394091,4.5701555,Rucphen,Netherlands,https://macdebaanbrekers.nl/,Karting
Hezemans Karting,51.475599,5.4585542,N/A,Netherlands,https://hezemans.nl/restaurant-keuze,Karting
TeamSport Groningen,53.2387663,6.5912212,N/A,Netherlands,https://www.teamsport-ekarting.nl/locaties/groningen,Karting
Kart Centre Roosendaal,51.5356399,4.4311162,Roosendaal,Netherlands,https://www.kcr.nl,Karting
Kartingbaan Vaals,50.7791921,6.0121835,N/A,Netherlands,https://www.kartingvaals.nl/,Karting
N/A,52.1865366,6.2480331,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1863216,6.248012,N/A,Netherlands,N/A,Karting
N/A,52.3249653,4.5986074,N/A,Netherlands,N/A,Karting
N/A,52.9691251,6.5414214,N/A,Netherlands,N/A,Karting
Indoor Kartbaan Winterswijk,51.959267,6.7051894,Winterswijk,Netherlands,https://kartbaanwinterswijk.nl/,Karting
All In Echt,51.1077554,5.8870123,Echt,Netherlands,https://www.allinecht.nl/,Karting
Kartbaan Oldenzaal,52.3065822,6.9002729,Oldenzaal,Netherlands,http://kartbaanoldenzaal.nl/,Karting
N/A,51.6722943,5.6439547,N/A,Netherlands,N/A,Karting
Bushiri Karting,12.5360517,-70.0485256,N/A,Netherlands,N/A,Karting
Bushiri Karting,12.5367656,-70.0489171,N/A,Netherlands,N/A,Karting
Bushiri Karting,12.5360941,-70.0489404,N/A,Netherlands,N/A,Karting
N/A,53.0579896,4.7779723,N/A,Netherlands,N/A,Karting
Kartbaan Driebergen,52.0552,5.2576402,N/A,Netherlands,N/A,Karting
GoKart track,12.5364178,-70.0488198,N/A,Netherlands,N/A,Karting
N/A,52.8228621,6.982639,N/A,Netherlands,N/A,Karting
Kartbaan Ulrum,53.361534,6.341368,N/A,Netherlands,http://kartbaanulrum.nl,Karting
N/A,51.1081968,5.8862539,N/A,Netherlands,N/A,Karting
N/A,51.1080673,5.8861915,N/A,Netherlands,N/A,Karting
SHW - Kartbaan Strijen,51.7667165,4.5282741,N/A,Netherlands,N/A,Karting
Kartbaan Oldenzaal,52.3071942,6.900733,N/A,Netherlands,N/A,Karting
De Landsard,51.461617,5.3750145,N/A,Netherlands,N/A,Karting
N/A,51.7667694,4.5283451,N/A,Netherlands,N/A,Karting
N/A,51.7665399,4.5279848,N/A,Netherlands,N/A,Karting
N/A,51.7668363,4.5277264,N/A,Netherlands,N/A,Karting
N/A,51.7664153,4.5279016,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1860766,6.2478381,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1861449,6.2478951,N/A,Netherlands,N/A,Karting
Karting Eefde,52.186263,6.2479353,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1863065,6.2483806,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1858898,6.2486425,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1858879,6.2487139,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1859028,6.2483654,N/A,Netherlands,N/A,Karting
Karting Eefde,52.185877,6.248543,N/A,Netherlands,N/A,Karting
Karting Eefde,52.186115,6.248583,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1860431,6.2482607,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1862147,6.2488398,N/A,Netherlands,N/A,Karting
Karting Eefde,52.186154,6.2489293,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1861042,6.2488652,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1861466,6.2490096,N/A,Netherlands,N/A,Karting
Karting Eefde,52.1865775,6.2489556,N/A,Netherlands,N/A,Karting
Pitstraat,52.0547196,5.2578916,N/A,Netherlands,N/A,Karting
Karting Eefde,52.186379,6.248162,N/A,Netherlands,N/A,Karting
TeamSport Karten Utrecht The Wall,52.1072824,5.0544155,N/A,Netherlands,https://www.teamsport-ekarting.nl/locaties/utrecht,Karting
N/A,52.306711,6.9009596,N/A,Netherlands,N/A,Karting
N/A,52.3065866,6.9008607,N/A,Netherlands,N/A,Karting
N/A,52.3065779,6.9008709,N/A,Netherlands,N/A,Karting
N/A,52.3065524,6.900879,N/A,Netherlands,N/A,Karting
N/A,52.3065336,6.9008888,N/A,Netherlands,N/A,Karting
N/A,51.9986622,4.6881817,N/A,Netherlands,N/A,Karting
Karting Genk - International CIK - FIA Circuit,50.9881922,5.5630127,N/A,Belgium,https://www.kartinggenk.be/,Karting
Bouillon Karting,49.7991478,5.0855435,N/A,Belgium,N/A,Karting
City Kart,50.8053583,4.3110225,N/A,Belgium,N/A,Karting
JPR Belgium,51.1668635,4.1668174,N/A,Belgium,https://www.jprkarting.be/,Karting
Karting des Fagnes,50.0940164,4.5003112,N/A,Belgium,N/A,Karting
Karting,50.6146731,5.9322593,N/A,Belgium,N/A,Karting
eKart,51.0659052,3.7326211,Gent,Belgium,https://www.ekart.be/,Karting
N/A,50.6147604,5.6625063,N/A,Belgium,N/A,Karting
Karting Grivegnée,50.6307576,5.6020928,N/A,Belgium,N/A,Karting
WIK Wavre Indoor Karting,50.7057166,4.5932223,N/A,Belgium,https://www.wik-karting.be,Karting
Franière Karting,50.4338368,4.7415286,N/A,Belgium,N/A,Karting
Franière Karting,50.4337475,4.7415295,N/A,Belgium,N/A,Karting
JMKarting,50.4356975,4.7397334,N/A,Belgium,N/A,Karting
Bar du karting,49.7993194,5.0847441,N/A,Belgium,N/A,Karting
Battle Kart,50.7198554,3.3034462,N/A,Belgium,N/A,Karting
Battle Kart,50.7201814,3.3042616,N/A,Belgium,N/A,Karting
BattleKart Liège Verlaine,50.6102571,5.3179241,N/A,Belgium,https://www.battlekart.com,Karting
Liège Karting,50.630888,5.6021659,N/A,Belgium,N/A,Karting
