track_id,Name,Latitude,Longitude,City,Country,Website,Category,Review Velocity (12m),Hero Image URL,Management Issues,Structural Issues,Owner Activity,Top Reviews Snippet,Maps URL,Official Website,building_sqm,b2b_density,catchment_area_size,is_indoor,is_outdoor,is_sim,NUTS_ID,NUTS_NAME,disposable_income_pps,wealth_data_year,data_quality_score,track_length_m,website_track_length_m
754,Piste de Karting de Nakutakoin,-22.1722074,166.4367178,La Réunion,France,,Karting,10,https://lh3.googleusercontent.com/p/AF1QipP6Grb26t0JMDQ3eKW9GKeU2DSj5mEG18wvMK90=w408-h342-k-no,True,True,False,"my children, aged 25 and 19, and their friends loved it. the track and karts were fantastic. | a fun family outing. helmets are disinfected after each use, and disposable face masks are also provided. children can participate as there are dedicated times for each age group. the rules and safety instructions are very well explained, reassuring both young and old. there's a snack bar on site, and a shaded area with a mat. closed-toe shoes are required. i recommend it. | i highly recommend it, good team, very nice circuit.","https://www.google.com/maps/place/KARTING+DE+NAKUTAKOIN/@13.4522175,86.2724423,3z/data=!4m10!1m2!2m1!1sPiste+de+Karting+de+Nakutakoin++France!3m6!1s0x6c27fd9432600fff:0xd57595897501c476!8m2!3d-22.172351!4d166.4364821!15sCiZQaXN0ZSBkZSBLYXJ0aW5nIGRlIE5ha3V0YWtvaW4gIEZyYW5jZVonIiVwaXN0ZSBkZSBrYXJ0aW5nIGRlIG5ha3V0YWtvaW4gZnJhbmNlkgEOc3BvcnRzX2NvbXBsZXiaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9kWFJNVGtOM0VBReABAPoBBAg-EDY!16s%2Fg%2F1hdzrjcfp?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.karting.nc/,208.13,82.0,255.5,False,True,False,FRY4,La Réunion,16100.0,2022,85,867,0
618,Giga Kart,-21.2840756,55.3961209,La Réunion,France,,Karting,0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwmad3UBAHoD6_xU21XFvya-BFBMAe3isAnSm-nd4-DaqoDysR8IDMhLrc732cVUsLdATdaHzn-X4NIwxpAc2oZtnuZK4kSb9o5DccLAORx4qY2DPEKozF8Tb70N4EHupJLxXBuQ=w408-h307-k-no,False,False,False,,"https://www.google.com/maps/place/PICARDIA+:+BattleKart+karting+-+Bowling+-+Escape+Games+-+Karaok%C3%A9+et+12+autres+activit%C3%A9s/@49.8076792,-7.2657069,6z/data=!4m10!1m2!2m1!1sGiga+Kart++France!3m6!1s0x47e7711fefccf5ef:0xf6471b39571cf3a!8m2!3d49.8076792!4d1.9628087!15sChFHaWdhIEthcnQgIEZyYW5jZVoSIhBnaWdhIGthcnQgZnJhbmNlkgEQYW11c2VtZW50X2NlbnRlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczVObHBZWkdsUlZrcHJVa1ZTYTFGdVRqVmxWa0pNWVVWb2JXRXpZeEFC4AEA-gEECAAQKw!16s%2Fg%2F11k4x4c567?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.picardia.io/,654.26,45.0,428.11,False,False,False,FRY4,La Réunion,16100.0,2022,50,523,0
697,Buggs Buggy 974,-21.2237709,55.558145,La Réunion,France,,Karting,8,https://lh3.googleusercontent.com/p/AF1QipMAAIUO1Q1h2ciibhzRq2j6eia6SzUopnHKuIXJ=w408-h342-k-no,True,False,False,"fantastic one-hour outing with my 9-year-old goddaughter; the scenery was breathtaking. the welcome was very warm, they adapted to each client and reassured them before setting off on the trails. i highly recommend it. | we had an absolutely fantastic 1-hour buggy ride! our guide was super easy to deal with and very helpful whenever needed. anyone who likes a bit of action should definitely come here. | fantastic activity that made me rediscover the plains. a truly unique experience with instructors who were incredibly dedicated to our hen party and also took great pride in their role as photographers. 😅 i 100% recommend it for an outdoor activity to discover fabulous landscapes. get ready for a bumpy ride! 😉 …","https://www.google.com/maps/place/Bugg's+Buggy+974/@-21.223834,55.55813,17z/data=!3m1!4b1!4m6!3m5!1s0x21787465448a0ba3:0x9880db959d621844!8m2!3d-21.223834!4d55.55813!16s%2Fg%2F11fyly5m7q?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.buggsbuggy974.re/,270.1,10.0,228.2,False,True,False,FRY4,La Réunion,16100.0,2022,75,0,-1
1441,Tahiti Karting,-17.5324027,-149.4319382,Guadeloupe,France,,Karting,1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwGeLYJgeV9t7vlx-_iVEZP5k2EWe6ezw0slNjQhTYAAOsECqE2WY7jgzTfgewyrIXdjlLDHAAD_oaG7A1yEksy2PrMyW3PtNuGztnRw3BBFo42dustFDm2hw4qGV3n4epUHQP=w408-h306-k-no,False,True,False,"very funny | very well received thank you very much | top-notch karting! we came for a family day out!! single or double-seater karts, clean track. awesome team! it's a shame the road to get there is a bit tricky.","https://www.google.com/maps/place/Tahiti+Karting/@-17.532604,136.7403088,3z/data=!4m10!1m2!2m1!1sTahiti+Karting++France!3m6!1s0x769a39ee1d6aaaab:0x316369e8a29eae48!8m2!3d-17.532604!4d-149.4315662!15sChZUYWhpdGkgS2FydGluZyAgRnJhbmNlkgENZ29fa2FydF90cmFja-ABAA!16s%2Fg%2F11f2ds0505?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://www.facebook.com/tahitikartingpapenoo,19.58,7.0,79.18,False,False,False,FRY1,Guadeloupe,16400.0,2022,85,1420,0
1133,Guyane Karting,4.9678447,-52.4642554,Guyane,France,,Karting,FAILED,,,,,,,,,0.0,200.83,False,False,False,FRY3,Guyane,11000.0,2022,35,906,0
619,Le Karting,5.1555527,-52.6706414,Guyane,France,,Karting,10,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIxu3OXaXxSMGwNmSvf_hgqEc5nySD-W22C5CdhFHbYS01VnnkgyMbhxDzjS-9KeO3jt4bxmZ1Jf_nvS9vDSllQS9To2oMrfGD12d0FKcc7hv52FhNrjx7feG7BU8o8lVpJI23=w408-h306-k-no,False,False,False,"excellent | thank you for sharing your experience.  see you soon, the kartland team","https://www.google.com/maps/place/Kartland/@48.610033,-6.6450511,6z/data=!4m10!1m2!2m1!1sLe+Karting++France!3m6!1s0x47e5e49df044f725:0xd6b1f0417ad6d078!8m2!3d48.610033!4d2.5834645!15sChJMZSBLYXJ0aW5nICBGcmFuY2VaEyIRbGUga2FydGluZyBmcmFuY2WSAQ1nb19rYXJ0X3RyYWNrmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwNU5HRlZWWGhNVkZKQ1ZsWm9WbFV5VVhSVlZtczBWMjFTYTFKSVl4QULgAQD6AQQIABA6!16s%2Fg%2F11b6_n827r?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.kartland.fr/,321.3,35.0,96.85,False,False,False,FRY3,Guyane,11000.0,2022,85,0,1500
2342,Centro Deportibo Simeon Antonio,12.495546,-70.0112115,Guadeloupe,Netherlands,,SIM Racing,4,https://lh3.googleusercontent.com/p/AF1QipOrCslQa9sc-QeaskQscgc-ejLmbsmmR0g5HVMZ=w408-h544-k-no,True,False,False,"unfortunately, my child is traumatized by kickboxing. there's no regular trainer, and if there is, it's a 16-year-old who has to train them. they have absolutely no knowledge of kickboxing; 5- or 6-year-olds are being beaten by 12-year-olds. it's not normal. | what a beautiful top location and nice gym, enough variety of what you can do, really a top sports center","https://www.google.com/maps/place/El+Otmani+Gym/@52.362456,3.6741055,9z/data=!4m10!1m2!2m1!1sCentro+Deportibo+Simeon+Antonio++Netherlands!3m6!1s0x47c5e23a742901dd:0x47777a6e560467da!8m2!3d52.362456!4d4.82767!15sCitDZW50cm8gRGVwb3J0aXZvIFNpbWVvbiBBbnRvbmlvIE5ldGhlcmxhbmRzkgEDZ3lt4AEA!16s%2Fg%2F11c1s3k2v0?hl=en&entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",http://www.elotmanigym.nl/,,,164.13,False,False,True,FRY1,Guadeloupe,16400.0,2022,75,0,-1
42,GoKart track,12.5364178,-70.0488198,Guadeloupe,Netherlands,,Karting,10,https://lh3.googleusercontent.com/p/AF1QipPNH39e1k6GfRC1SjVuWwYeio6s3xVJwxEYEqcN=w408-h272-k-no,True,True,False,really fun track. it's just a shame the track staff aren't paying attention. i spent three laps on top of someone who wouldn't move. and they just don't wave the passing flag. | i have to go back again | good service and nice job,"https://www.google.com/maps/place/Race+Planet+Delft/@52.025149,3.2098455,9z/data=!4m10!1m2!2m1!1sGoKart+track++Netherlands!3m6!1s0x47c5b5dffbe930c5:0x2c18947e3e5b6f9a!8m2!3d52.025149!4d4.36341!15sChlHb0thcnQgdHJhY2sgIE5ldGhlcmxhbmRzWhoiGGdva2FydCB0cmFjayBuZXRoZXJsYW5kc5IBDWdvX2thcnRfdHJhY2uaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlBNV0ZoWmxGUkVBReABAPoBBAgAEEU!16s%2Fg%2F1vb9c76h?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://raceplanet.nl/,718.71,180.0,133.91,False,False,False,FRY1,Guadeloupe,16400.0,2022,85,1030,0
1358,Acro'Kart Racing,14.534391,-61.0126832,Martinique,France,,Karting,10,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6kcN-bnMhKY77GgLtfoW8Ylc9_TD_ZpDpdRx8Icd73rq2D_Bfl5azWZ0BuuoXpQOD9ER0eJBeQXQm4PPoHRH_qpXUsl9LDU1LU54_i0EsQuw1gTcNG2byfHqMklkXX166oe59Xw=w408-h307-k-no,True,True,False,"this is the worst activity i've ever done, and yet i love karting! there are several problems: - the staff is rude, from the woman at reception to the two tough guys at the track. it's bordering on racism for these three people. - the hygiene, with helmets that smell bad, like the protections, probably not washed since the opening. - the equipment, beyond the smell, how can you rent helmets in such poor condition and without visors (when it's raining)! the karts are dirty, old, and don't last a full round, in my opinion... - safety: no explanations (i'm not a karting expert), no safety videos, and no one is there if you have a problem on the track; they're tapping away on their smartphones at the reception bar! - the track: it was laid out blindly, and it's pointless. - the price: €25 per round. there were two of us, practically the only customers of the evening. we each bought two games. due to torrential rain at the end of the first game, we couldn't play the second game. they refused a refund. only credit notes are accepted. but when the equipment is rubbish, the reception is disgusting, the rain is unstoppable, and we're the only customers, you can do something for people who won't be back in martinique for years! or at least pretend to be polite. the experience ended with death threats from the lady at the reception!  in short... avoid! luckily for them, they have no competition. | very nice, there are also two-seater karts for couples or parents/children. 25 or 30 for 10 minutes. the track is nice, with the possibility of overtaking on most corners. the overall area outside the track lacks any lively amenities. there are quite a few seats, but it's not very conducive to enjoying the atmosphere. | the circuit is really good and enjoyable, but i find the time on the track too short for the price, which is quite high. the restrooms are unfortunately unsanitary, to the point that i prefer not to use them when i come here, which is a shame for a place like this.  the staff are okay. generally, they do their job well and aren't unpleasant, although i've encountered a few less-than-friendly employees. overall, it's a good experience, but there are definitely areas for improvement, especially regarding hygiene and value for money.","https://www.google.com/maps/place/ACRO'KART/@14.5347414,-61.0124588,17z/data=!3m1!4b1!4m6!3m5!1s0x8c401e461323e71f:0x81679b8a4c67540d!8m2!3d14.5347414!4d-61.0124588!16s%2Fg%2F11cs16znn0?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",https://www.acrokart.fr/,4088.83,15.0,384.39,True,True,False,FRY2,Martinique,18600.0,2022,85,401,0
2378,Racing Club de Basse-Terre,15.9931608,-61.7269008,Guadeloupe,France,,SIM Racing,0,,False,False,False,,"https://www.google.com/maps/place/Racing+Club/@15.993175,-61.7270231,17z/data=!3m1!4b1!4m6!3m5!1s0x8c149f159b6d231b:0x161bf9a9944ea35d!8m2!3d15.993175!4d-61.7270231!16s%2Fg%2F11grc6q3xg?hl=en&entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",,,,128.88,False,False,True,FRY1,Guadeloupe,16400.0,2022,35,212,0
2393,Simaho Nautique,16.0573537,-61.7684793,Guadeloupe,France,,SIM Racing,1,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq14b1p9-grVYKesoEdOwdpVh5gKAjPSxL-fvshqulJc43otMVJzju3Cy0PvZA7hTtdaqa9iKcoDdUp22l-JgyiwJHXRn3XY6Du_dxAMl-cV9Q-W0WapW1ViXsJBoRz74Pik9t-1g=w426-h240-k-no,True,False,False,"we were eight friends aboard pia, a lagoon 440 catamaran, for a week-long cruise around guadeloupe in january 2025. thomas, the shipseo sales representative, was very helpful and responsive in handling our reservation. while waiting for our trip, we contacted him again with various questions, all of which he answered, even though we had to follow up with him at times. the boat was well-equipped and comfortable. the four cabins had a bathroom and toilet, which was very much appreciated. the only area for improvement was the boat's condition, which was slightly below what the photos available on their website suggest. jessica, our skipper, provided excellent advice on the route and anchorages. she perfectly managed the navigation, which was made difficult by the rough seas, strong winds, and squalls we unfortunately encountered during our trip. she agreed to let us participate in the maneuvers and demonstrated remarkable precision during the various dockings. we will have wonderful memories of this stay aboard pia, piloted by jessica. thank you to the shipseo team. | if you're looking for a real adventure, then let's go!  we chose to explore the grenadines aboard the famous ylang ylang: if you're looking for authenticity, adventure, and discovery, i highly recommend it! thanks to our skipper, we discovered anchorages far from mass tourism. certainly more unusual and wild, but much more immersive in the local culture! the boat is perfect for learning the basics of sailing; it's a bit old-fashioned but still very efficient in terms of navigation. i recommend cruises with shipseo; their expertise and experience at sea make these holidays incredibly enriching and provide a complete escape from your daily routine. next up: brittany! | there are some unforgettable vacations that stay with you for life: and this one, spent aboard pia, discovering the grenadines, will remain etched in our memories forever!  everything was seamless, from start to finish. we were accommodating, adapting at any moment. we even had to make a few changes to suit our needs; which was never a problem.  leaving le marin in martinique, heading for the grenadines for 9 days: a boat admirably skippered by nicolas, who knows and masters the area, the islands, the anchorages... and what can i say about claire's delicious meals: the joy of sitting down at the table, without having to worry about meals or the fridge: that's what a real vacation is, pure bliss!  like some of the comments, let me tell you, those of you reading these lines who are still hesitating, that you can book with complete peace of mind; you won't be disappointed with your stay. available, friendly, adaptable, able to step aside when necessary, always offering good advice... don't hesitate, for a successful vacation in the grenadines with a skipper and hostess.  happy sailing! see you soon, we'll definitely be back on board!","https://www.google.com/maps/place/Shipseo+-+Location+catamaran+-+Travers%C3%A9e+de+l'Atlantique+en+catamaran/@48.3187031,-0.4459127,8z/data=!4m10!1m2!2m1!1sSimaho+Nautique++France!3m6!1s0x47e6eb5a8a07cb5f:0x99f912fcf6c86330!8m2!3d49.0370553!4d1.8421272!15sChdTaW1haG8gTmF1dGlxdWUgIEZyYW5jZZIBE2JvYXRfcmVudGFsX3NlcnZpY2XgAQA!16s%2Fg%2F11c3_54_qh?hl=en&entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",http://shipseo.com/,,,101.95,False,False,True,FRY1,Guadeloupe,16400.0,2022,75,514,0
693,Gwada Karting Club,16.2491385,-61.5949181,Guadeloupe,France,,Karting,5,https://lh3.googleusercontent.com/a-/ALV-UjVLPcwgJVMITpBP7p2GFtHCDn7mlWG37pQ9veTzeWoQCCLeeQ95lA=w36-h36-p-rp-mo-ba5-br100,True,True,False,"very enjoyable go-karting. well organized. | small and narrow circuit. but the only option in guadeloupe, so we're taking it. | we've been waiting for this karting for so long for all the people who are passionate about cars and racing. thank you so much for the quality of the service, your flexibility, and the service provided in guadeloupe. we're looking forward for you to continue to expand and for you to be open 24/7 for our delight. also, please refresh your karts as soon as possible because some of them are really used and are not reliable, unfortunately.","https://www.google.com/maps/place/Karukera+Karting+Cup/@16.250593,-61.5922544,17z/data=!3m1!4b1!4m6!3m5!1s0x8c13470004791275:0x6e8b65b5a233fc7!8m2!3d16.250593!4d-61.5922544!16s%2Fg%2F11ydm3p1m0?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://www.kkcup.fr/,10872.63,38.0,513.59,False,True,False,FRY1,Guadeloupe,16400.0,2022,85,632,0
997,Pro Kart Figari,41.4881425,9.1160391,Corse,France,,Karting,10,https://lh3.googleusercontent.com/p/AF1QipPv1sxwUx0pRdmOA7m3P5M19tW7bd_IafpYyk0=w408-h306-k-no,True,True,False,"super !!! | very fun track. the new electric karts perform well at a reasonable price. the staff is friendly and helpful. | the welcome was great 👍, quick and we had a great time. we would come back with pleasure. …","https://www.google.com/maps/place/Prokart/@41.4874916,9.1155605,17z/data=!3m1!4b1!4m6!3m5!1s0x12dbd4bc818d1c7d:0x105f959b90a77ed8!8m2!3d41.4874916!4d9.1155605!16s%2Fg%2F1tftt5lp?hl=en&entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D",http://prokart-corse.fr/,118.66,5.0,340.82,False,False,False,FRM0,Corse,21400.0,2022,75,816,0
2400,Racing Moto Club Corsica,41.9305968,8.6835027,Corse,France,,SIM Racing,2,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoa6Ebx5wyZu-9z9LJaOJwwdU1X0Hn47Jp2OJfDiiV11EFHvq52pt-fkoSr9zHSxfwsvHVe-8LLsqSccnG1M-9vBMGIlO529cNr7FB6Tx89GDbAQ0i7ISj2cat0fmRMalLr5mPdSA=w408-h306-k-no,False,False,False,great tour 👍🙌 … | simply family-friendly and sporty,"https://www.google.com/maps/place/Racing+moto+club+Corsica/@41.930382,8.6106341,13z/data=!4m10!1m2!2m1!1sRacing+Moto+Club+Corsica++France!3m6!1s0x12da698f228a74c7:0xa5c48ac7acf2aa1f!8m2!3d41.930382!4d8.6827319!15sCiBSYWNpbmcgTW90byBDbHViIENvcnNpY2EgIEZyYW5jZZIBC3Nwb3J0c19jbHVi4AEA!16s%2Fg%2F11pv8760vz?hl=en&entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",,,,157.39,False,False,True,FRM0,Corse,21400.0,2022,85,1510,0
